Program,Threads,Schedule,Time
pthreads,1,static,38.9968
pthreads,1,dynamic,39.1792
pthreads,1,guided,37.8822
pthreads,2,static,26.1458
pthreads,2,dynamic,27.5889
pthreads,2,guided,30.2099
pthreads,4,static,33.2202
pthreads,4,dynamic,26.3198
pthreads,4,guided,27.6513
pthreads,8,static,35.6019
pthreads,8,dynamic,30.6762
pthreads,8,guided,30.4731
pthreads,16,static,52.9628
pthreads,16,dynamic,59.6941
pthreads,16,guided,59.218
openmp,1,static,28.929323
openmp,1,dynamic,27.269697
openmp,1,guided,27.793084
openmp,2,static,18.250131
openmp,2,dynamic,16.109473
openmp,2,guided,17.932393
openmp,4,static,11.725261
openmp,4,dynamic,13.447231
openmp,4,guided,12.370677
openmp,8,static,12.186835
openmp,8,dynamic,12.398929
openmp,8,guided,12.859405
openmp,16,static,36.955260
openmp,16,dynamic,31.293640
openmp,16,guided,27.663711
